full_path,file_name,size_bytes,last_modified,is_duplicate,duplicate_of,app_name,description,created,extension,file_hash,host,is_app_container,last_accessed,os,os_version,parent_folder,responsible_party,root_folder,scan_timestamp,subrole,username
.\c)quarter_reel_(stabilize_to_converge).mp3,c)quarter_reel_(stabilize_to_converge).mp3,2503324,2025-12-26T03:19:43.799497,False,,,,2025-12-26T09:27:32.006672,.mp3,619eea7e2132c610fdcf381a63a1e678,Envy2-0,False,2025-12-26T09:27:32.006672,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.148418,general,trcam
.\year_in_signals_(1).mp3,year_in_signals_(1).mp3,953166,2025-12-25T23:11:54.075732,False,,,,2025-12-25T23:13:16.456208,.mp3,5cf89b12188ee495fceb6cbfb8d77d20,Envy2-0,False,2025-12-25T23:13:16.456208,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.180552,general,trcam
.\d)guardrails_(double_down_drop)(1).mp3,d)guardrails_(double_down_drop)(1).mp3,2661989,2025-12-26T03:19:56.851406,False,,,,2025-12-26T09:27:32.329676,.mp3,61910a7c5c1b5d9fec1d3b4eb91e2c31,Envy2-0,False,2025-12-26T09:27:32.329676,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.185921,general,trcam
.\b)year_in_signals.mp3,b)year_in_signals.mp3,3066933,2025-12-26T03:19:17.440972,False,,,,2025-12-26T09:22:36.305245,.mp3,ff4563348ae822024809379611b2b175,Envy2-0,False,2025-12-26T09:22:36.305245,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.289876,general,trcam
.\c)quarter_reel_(stabilize_to_converge)(1).mp3,c)quarter_reel_(stabilize_to_converge)(1).mp3,3552960,2025-12-26T03:19:47.449484,False,,,,2025-12-26T09:27:31.893671,.mp3,d511c808caa5d6de12f454cfc8ab3532,Envy2-0,False,2025-12-26T09:27:31.893671,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.439709,general,trcam
.\i)cadence_seal_(future-me_contract).mp3,i)cadence_seal_(future-me_contract).mp3,3004007,2025-12-26T08:56:31.819282,False,,,,2025-12-26T09:22:31.998195,.mp3,203eeda25c8fa5129833a333f407d592,Envy2-0,False,2025-12-26T09:22:31.998195,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.559123,general,trcam
.\e)ecosystem_anthem_(orbit)(1).mp3,e)ecosystem_anthem_(orbit)(1).mp3,4219732,2025-12-26T03:53:21.009062,False,,,,2025-12-26T09:27:32.575679,.mp3,e8b2151a70f19098b5ad026c8c1fc8b1,Envy2-0,False,2025-12-26T09:27:32.575679,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.585746,general,trcam
.\year_in_signals.mp3,year_in_signals.mp3,1005744,2025-12-25T23:11:49.594825,False,,,,2025-12-25T23:13:16.709211,.mp3,caf51836aa8477ec0e92c2e73af57ed2,Envy2-0,False,2025-12-25T23:13:16.709211,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.674797,general,trcam
.\b)year_in_signals(2).mp3,b)year_in_signals(2).mp3,2744798,2025-12-26T03:19:29.719137,False,,,,2025-12-26T09:22:35.735238,.mp3,17502a6584c4f550438450c02fb43e6a,Envy2-0,False,2025-12-26T09:22:35.735238,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.675117,general,trcam
.\a)inevitable_spine.mp3,a)inevitable_spine.mp3,3872297,2025-12-26T03:19:08.749684,False,,,,2025-12-26T09:22:36.926252,.mp3,20e5b13f3fe7586f9cfc06ab1dd82325,Envy2-0,False,2025-12-26T09:22:36.926252,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.686508,general,trcam
.\f)milestone_ledger(1).mp3,f)milestone_ledger(1).mp3,3054507,2025-12-26T04:09:36.641466,False,,,,2025-12-26T09:27:32.912683,.mp3,9af286a11d8249dd6c5faa81e499ad9f,Envy2-0,False,2025-12-26T09:27:32.912683,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.692161,general,trcam
.\cadence_seal_(future-me_contract)_(1).mp3,cadence_seal_(future-me_contract)_(1).mp3,987313,2025-12-25T23:12:13.088131,False,,,,2025-12-26T09:27:32.230675,.mp3,37504166e5b300078873851453cadc0d,Envy2-0,False,2025-12-26T09:27:32.230675,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:16.691942,general,trcam
